,Nominee,Nominations,First,Last,Last - First,born,No,imdbID,ambiguous?,bday,bplace
325,Olympia Dukakis,1,1987,1987,0,1931,,1156,,1931-6-20,"Lowell, Massachusetts, USA"
349,Rita Moreno,1,1961,1961,0,1931,,1549,,1931-12-11,"Humacao, Puerto Rico"
28,Anouk Aimee,1,1966,1966,0,1932,,733,Anouk Aimée,1932-4-27,"Paris, France"
81,Debbie Reynolds,1,1964,1964,0,1932,,1666,,1932-4-1,"El Paso, Texas, USA"
90,Diane Ladd,3,1974,1991,17,1932,,2663,,1935-11-29,"Meridian, Mississippi, USA"
101,Eileen Brennan,1,1980,1980,0,1932,,107281,,1932-9-3,"Los Angeles, California, USA"
108,Elizabeth Taylor,5,1957,1966,9,1932,,72,,1932-2-27,"Hampstead, London, England, UK"
109,Ellen Burstyn,6,1971,2000,29,1932,,995,,1932-12-7,"Detroit, Michigan, USA"
277,Marisa Pavan,1,1955,1955,0,1932,,667542,,1932-6-19,"Cagliari, Sardinia, Italy"
340,Piper Laurie,3,1961,1986,25,1932,,1453,,1932-1-22,"Detroit, Michigan, USA"
387,Sylvia Miles,2,1969,1975,6,1932,,587249,,1924-9-9,"New York City, New York, USA"
73,Cicely Tyson,1,1972,1972,0,1933,,1807,,1924-12-18,"New York City, New York, USA"
88,Diane Cilento,1,1963,1963,0,1933,,162284,,1933-10-5,"Brisbane, Queensland, Australia"
293,Mary Ure,1,1960,1960,0,1933,,881829,,1933-2-18,"Glasgow, Scotland, UK"
193,Joan Hackett,1,1981,1981,0,1934,,352466,,1934-3-1,"East Harlem, New York City, New York, USA"
202,Judi Dench,6,1997,2006,9,1934,,1132,,1934-12-9,"York, North Yorkshire, England, UK"
256,Louise Fletcher,1,1975,1975,0,1934,,1221,,1934-7-22,"Birmingham, Alabama, USA"
264,Maggie Smith,6,1965,2001,36,1934,,1749,,1934-12-28,"Ilford, Essex, England, UK"
369,Shirley Jones,1,1960,1960,0,1934,,429250,,1934-3-31,"Charleroi, Pennsylvania, USA"
371,Shirley MacLaine,5,1958,1983,25,1934,,511,,1934-4-24,"Richmond, Virginia, USA"
