,script_id,imdb_id,title,year,gross,lines_data,female,male,movie,total,female_per,male_per
993,4658,tt0031679,Mr. Smith Goes to Washington,1939,,7777676343667777743747777777777767757565677777777665777447577777777777777777773446777777777777777777777677567777777777775660377763477542,1220,18553,,19773,0.06170029838668892,0.9382997016133111
994,5448,tt2473794,Mr. Turner,2014,4.0,4374676031132277755335777777753433433553333334334433237534343343577777777777777777777743337765443277667777776667745732642367777777775446767777335343241610122,3117,6134,,9251,0.33693654740028106,0.663063452599719
995,2957,tt0119280,Mrs Brown,1997,17.0,76437763467776167332644433777533364633545775567777774377366067763243445757777777777242024634776725774447777337542454433577733355542643777367777776357547327774324444675777777777443121561771,4068,11684,,15752,0.25825292026409347,0.7417470797359066
996,4660,tt0117104,Mrs. Winterbourne,1996,19.0,41431335210000003102300000000003210020001000000000000004535300010400002,6431,1006,,7437,0.8647304020438349,0.1352695979561651
997,2959,tt1935179,Mud,2012,23.0,577777777777777777777756677777774363777767777773244777777777777777776233777774224577777777777777777344677777777756467762324345777774467777777773,2578,18069,,20647,0.12486075458904441,0.8751392454109556
998,2961,tt0120762,Mulan,1998,224.0,5632000353577777344767745454677645466476666766546544355565576546474400014536777754457676445547766545565667577574465433656556755461,3560,10856,,14416,0.2469478357380688,0.7530521642619312
999,2962,tt0166924,Mulholland Drive,2001,11.0,777210013101777777401776460234003200021026343677772000000002446443535740000021776300013102777777302776450243003200030035434677771000000002546433536730000020,8362,5368,,13730,0.6090313182811362,0.3909686817188638
1000,2964,tt0140397,Mumford,1999,7.0,575433432777777634665777764343257777763333433454777777777777777777777777243433345356554441277777547777773234257777443333334424314457574433343777777534765777753442367777753234434355777777777777777777777775343432445366455331477777457777763233367777334333334,8996,19462,,28458,0.3161149764565324,0.6838850235434676
1001,9025,tt0408306,Munich,2005,64.0,765335362777777777655677777777775575433777777777777777757777777777777777777774377647777777735666776,875,9890,,10765,0.08128193218764515,0.9187180678123549
1002,2968,tt0166943,Music of the Heart,1999,25.0,220253412331003244343321134111110043100100443010100013200244137434333311412522450321012031323335452411123200200431151002032022320321113024342142200233443431114320211003410010043401010001320023422744334331141252154132101202223243535332111420011043025100202,17274,5136,,22410,0.7708165997322624,0.22918340026773762
1003,2969,tt0110604,Mute Witness,1995,2.0,3716347434374431373133546465577225633577765537544454574,1160,2471,,3631,0.3194712200495731,0.6805287799504269
1004,6625,tt0359715,My Best Friend's Birthday,1987,,777777777777777777743453677777223546442567542344366777736247743477265566400777777777774,1667,8183,,9850,0.16923857868020303,0.8307614213197969
1005,1179,tt0119738,My Best Friend's Wedding,1997,240.0,02000045451000000021000000025444431222310000000006514343220354344510000002612354744203410225644244430013101443330015142643200027510,6540,3308,,9848,0.6640942323314378,0.33590576766856217
1006,7698,tt0259446,My Big Fat Greek Wedding,2002,360.0,134022332247321123501544430421142332563425322326510156211,4632,3304,,7936,0.5836693548387096,0.4163306451612903
1007,7149,tt1179891,My Bloody Valentine,2009,59.0,767541554204723674477757654457757677576650010046554475333636552,1287,3267,,4554,0.2826086956521739,0.717391304347826
1008,7926,tt0100212,My Blue Heaven,1990,48.0,50534367522,804,850,,1654,0.4860943168077388,0.5139056831922612
1009,7219,tt0081207,My Bodyguard,1980,,1377534445445445777777776666246774774575767644777777767765267753777777777745773,1367,5978,,7345,0.18611300204220557,0.8138869979577944
1010,8253,tt0104952,My Cousin Vinny,1992,110.0,7777677676657664466777767755771,409,3728,,4137,0.09886391104665217,0.9011360889533478
1011,1178,tt0102492,My Girl,1991,123.0,42354444224314213112143234221221342423300233357744452424344332436314336554333334442221353543002433134443203410024340,3666,3120,,6786,0.5402298850574713,0.45977011494252873
1012,4670,tt0110613,My Girl 2,1994,34.0,34223443302342321263334220002344443544344357435342456334554343263543435434524342335432114243355444413343445543343210,5053,5224,,10277,0.49168045149362655,0.5083195485063735
1013,8420,tt0102494,My Own Private Idaho,1991,13.0,777777777777777777773677734445777776577777777777777764367577775,252,6253,,6505,0.03873943120676403,0.961260568793236
1014,4674,tt1909807,My Pure Joy,2011,,364553565377777777777777777777766467656774347777777777777777777777777777777777777777777771,396,8097,,8493,0.04662663369833981,0.9533733663016601
1015,2975,tt1655420,My Week with Marilyn,2011,16.0,63377275644777777777777662347347624337345745622361333346274366333344777724774226765314634777634741566342442214777664333234643155454545376352,9047,14201,,23248,0.3891517549896765,0.6108482450103234
1016,2976,tt0132347,Mystery Men,1999,50.0,777777545754677777766766777777767742465766566764366667555333476677556746635563335655444677576546766656777777446663777777757757777777677732556766557754375767455332676677466655635653336555445677566556757562,2032,11178,,13210,0.1538228614685844,0.8461771385314156
1017,4677,tt0024368,Mystery of the Wax Museum,1933,,777777433423434675243424344777504407445235443456025443433553447443334234436412,3655,6166,,9821,0.3721616943284798,0.6278383056715202
1018,7502,tt0327056,Mystic River,2003,129.0,77777734675454777777457777464776667335755677754547557777777777732756777453667777777777777763477777777777777777777776400,1051,9709,,10760,0.09767657992565056,0.9023234200743494
